,Prediction,True Scores
0,47.078674,46.759998
1,46.636986,46.330002
2,45.93891,45.650002
3,46.534294,46.23
4,47.931778,47.59
5,47.520554,47.189999
6,46.9143,46.599998
7,46.6678,46.360001
8,46.257088,45.959999
9,45.764473,45.48
10,46.54457,46.240002
11,46.6986,46.389999
12,46.216026,45.919998
13,47.458893,47.130001
14,47.510277,47.18
15,47.335556,47.009998
16,42.876335,42.66
17,41.37539,41.189999
18,42.212227,42.009998
19,40.57022,40.400002
20,41.467186,41.279999
21,41.79367,41.599998
22,42.03865,41.84
23,42.661705,42.450001
24,42.620834,42.41
25,42.56974,42.360001
26,42.815002,42.599998
27,42.59018,42.380001
28,43.316017,43.09
29,44.114258,43.869999
30,43.817375,43.580002
31,43.766197,43.529999
32,43.735497,43.5
33,44.10401,43.860001
34,44.40101,44.150002
35,44.339554,44.09
36,44.237137,43.990002
37,44.30883,44.060001
38,44.09378,43.849998
39,44.124496,43.880001
40,43.510376,43.279999
41,43.28533,43.060001
42,43.33647,43.110001
43,42.56974,42.360001
44,43.07057,42.849998
45,42.23265,42.029999
46,42.181595,41.98
47,41.20204,41.02
48,41.569206,41.380001
49,41.752853,41.560001
50,41.895737,41.700001
51,42.7128,42.5
52,42.498222,42.290001
53,43.10125,42.880001
54,43.080803,42.860001
55,43.121704,42.900002
56,41.650818,41.459999
57,41.39579,41.209999
58,41.151054,40.970001
59,41.14086,40.959999
60,40.8351,40.66
61,40.896233,40.720001
62,40.45819,40.290001
63,41.742645,41.549999
64,41.722237,41.529999
65,41.61,41.419998
66,41.67122,41.48
67,41.916153,41.720001
68,41.956978,41.759998
69,41.84471,41.650002
70,42.467575,42.259998
71,42.365425,42.16
72,41.814087,41.619999
73,43.131927,42.91
74,42.85589,42.639999
75,43.213737,42.990002
76,43.57177,43.34
77,48.21971,47.869999
78,48.384285,48.029999
79,49.547203,49.16
80,49.44426,49.060001
81,49.011925,48.639999
82,49.03251,48.66
83,48.600327,48.240002
84,47.942055,47.599998
85,46.58564,46.279999
86,47.017036,46.700001
87,48.0963,47.75
88,47.70558,47.369999
89,47.685028,47.349998
90,47.972908,47.630001
91,49.09426,48.720001
92,48.662056,48.299999
93,48.363716,48.009998
94,47.921494,47.580002
95,47.921494,47.580002
96,47.75699,47.419998
97,47.22252,46.900002
98,46.90403,46.59
99,47.95234,47.610001
100,47.787834,47.450001
101,47.18142,46.860001
102,47.56167,47.23
103,47.243073,46.919998
104,47.171143,46.849998
105,46.6678,46.360001
